Time since start: 0  ... Data = 0
Time since start: 999  ... Data = 1
Time since start: 1999  ... Data = 2
Time since start: 3000  ... Data = 3
Time since start: 4001  ... Data = 4
Time since start: 5002  ... Data = 5
Time since start: 6002  ... Data = 6
Time since start: 7003  ... Data = 7
Time since start: 8003  ... Data = 8
Time since start: 9004  ... Data = 9
Time since start: 10004  ... Data = 10
Time since start: 11004  ... Data = 11
Time since start: 12005  ... Data = 12
Time since start: 13005  ... Data = 13
Time since start: 14006  ... Data = 14
Time since start: 15006  ... Data = 15
Time since start: 16008  ... Data = 16
Time since start: 17008  ... Data = 17
Time since start: 18009  ... Data = 18
Time since start: 19009  ... Data = 19
Time since start: 20009  ... Data = 20
